source_file,scheme,metric,households,simulations,cache_mode,total_us,total_s,avg_us,avg_ms,count,cipher_bytes
ckks_h500_s1000_cold.log,CKKS,H_plan_compute,500,1000,cold,27161682.0,27.161682,18.758,0.018758,1448000.0,0
ckks_h500_s1000_cold.log,CKKS,H_accept_compute,500,1000,cold,28809.0,0.028809,0.034,3.4e-05,848748.0,0
ckks_h500_s1000_cold.log,CKKS,H_encrypt_delta_i,500,1000,cold,2590944980.0,2590.94498,3052.667,3.052667,848748.0,394865
ckks_h500_s1000_cold.log,CKKS,H_total_household_side,500,1000,cold,4150813129.0,4150.813129,4150813.129,4150.813129,1000.0,394865
ckks_h500_s1000_cold.log,CKKS,B_init_X_from_first_ciphertext,500,1000,cold,41947.0,0.041947,41.947,0.041947000000000005,1000.0,394865
ckks_h500_s1000_cold.log,CKKS,B_add_X_remaining,500,1000,cold,21035047.0,21.035047,42.154,0.042154000000000004,499000.0,394865
ckks_h500_s1000_cold.log,CKKS,B_init_delta_from_first_ciphertext,500,1000,cold,123768.0,0.123768,42.738,0.042738,2896.0,394865
ckks_h500_s1000_cold.log,CKKS,B_add_delta_remaining,500,1000,cold,35966819.0,35.966819,42.521,0.042521,845852.0,394865
ckks_h500_s1000_cold.log,CKKS,B_total_aggregation,500,1000,cold,57167581.0,57.167581,57167.581,57.167581,1000.0,394865
ckks_h500_s1000_cold.log,CKKS,C_decrypt_X,500,1000,cold,889873.0,0.889873,889.873,0.889873,1000.0,0
ckks_h500_s1000_cold.log,CKKS,C_decrypt_delta,500,1000,cold,2585362.0,2.585362,892.735,0.8927350000000001,2896.0,0
ckks_h500_s1000_cold.log,CKKS,C_control_logic_until_convergence,500,1000,cold,30227.0,0.030227,10.438,0.010438000000000001,2896.0,0
ckks_h500_s1000_cold.log,CKKS,C_total_decrypt_plus_control,500,1000,cold,3505462.0,3.505462,3505.462,3.505462,1000.0,0
ckks_h500_s1000_cold.log,CKKS,SIM_total_measured_H_B_C,500,1000,cold,4211486172.0,4211.486172,4211486.172,4211.486172,1000.0,394865
ckks_h500_s1000_cold.log,SUMMARY,total_iterations,500,1000,cold,2896.0,0.002896,2.896,0.0028959999999999997,1000.0,0
ckks_h500_s1000_cold.log,SUMMARY,accepted_delta_count,500,1000,cold,848748.0,0.848748,848.748,0.8487480000000001,1000.0,0
ckks_h50_s1000_cold.log,CKKS,H_initial_device_planning,50,1000,cold,611611.0,0.611611,12.232,0.012232,50000.0,0
ckks_h50_s1000_cold.log,CKKS,H_encrypt_X_i,50,1000,cold,153415944.0,153.415944,3068.319,3.068319,50000.0,394865
