source_file,scheme,metric,households,simulations,cache_mode,total_us,avg_us,count,cipher_bytes
ckks_h10_s1000_cold.log,CKKS,H_plan_compute,10,1000,cold,2957238,26.823,110250,0
ckks_h10_s1000_cold.log,CKKS,H_accept_compute,10,1000,cold,757,0.031,24630,0
ckks_h10_s1000_cold.log,CKKS,H_encrypt_delta_i,10,1000,cold,75028899,3046.240,24630,394865
ckks_h10_s1000_cold.log,CKKS,H_total_household_side,10,1000,cold,108980322,108980.322,1000,394865
ckks_h10_s1000_cold.log,CKKS,B_init_X_from_first_ciphertext,10,1000,cold,30961,30.961,1000,394865
ckks_h10_s1000_cold.log,CKKS,B_add_X_remaining,10,1000,cold,356367,39.596,9000,394865
ckks_h10_s1000_cold.log,CKKS,B_init_delta_from_first_ciphertext,10,1000,cold,114380,10.376,11023,394865
ckks_h10_s1000_cold.log,CKKS,B_add_delta_remaining,10,1000,cold,517624,38.041,13607,394865
ckks_h10_s1000_cold.log,CKKS,B_total_aggregation,10,1000,cold,1019332,1019.332,1000,394865
ckks_h10_s1000_cold.log,CKKS,C_decrypt_X,10,1000,cold,870635,870.635,1000,0
ckks_h10_s1000_cold.log,CKKS,C_decrypt_delta,10,1000,cold,9254086,839.525,11023,0
ckks_h10_s1000_cold.log,CKKS,C_control_logic_until_convergence,10,1000,cold,641,0.058,11025,0
ckks_h10_s1000_cold.log,CKKS,C_total_decrypt_plus_control,10,1000,cold,10125362,10125.362,1000,0
ckks_h10_s1000_cold.log,CKKS,SIM_total_measured_H_B_C,10,1000,cold,120125016,120125.016,1000,394865
ckks_h10_s1000_cold.log,SUMMARY,total_iterations,10,1000,cold,11025,11.025,1000,0
ckks_h10_s1000_cold.log,SUMMARY,accepted_delta_count,10,1000,cold,24630,24.630,1000,0
ckks_h250_s1000_cold.log,CKKS,H_initial_device_planning,250,1000,cold,2908132,11.633,250000,0
ckks_h250_s1000_cold.log,CKKS,H_encrypt_X_i,250,1000,cold,766113223,3064.453,250000,394865
ckks_h250_s1000_cold.log,CKKS,H_plan_compute,250,1000,cold,14561724,19.468,748000,0
ckks_h250_s1000_cold.log,CKKS,H_accept_compute,250,1000,cold,35946,0.085,423485,0
ckks_h250_s1000_cold.log,CKKS,H_encrypt_delta_i,250,1000,cold,1296390667,3061.243,423485,394865
ckks_h250_s1000_cold.log,CKKS,H_total_household_side,250,1000,cold,2080009692,2080009.692,1000,394865
ckks_h250_s1000_cold.log,CKKS,B_init_X_from_first_ciphertext,250,1000,cold,42516,42.516,1000,394865
ckks_h250_s1000_cold.log,CKKS,B_add_X_remaining,250,1000,cold,10475419,42.070,249000,394865
ckks_h250_s1000_cold.log,CKKS,B_init_delta_from_first_ciphertext,250,1000,cold,122871,41.067,2992,394865
ckks_h250_s1000_cold.log,CKKS,B_add_delta_remaining,250,1000,cold,17676725,42.038,420493,394865
ckks_h250_s1000_cold.log,CKKS,B_total_aggregation,250,1000,cold,28317531,28317.531,1000,394865
ckks_h250_s1000_cold.log,CKKS,C_decrypt_X,250,1000,cold,882629,882.629,1000,0
ckks_h250_s1000_cold.log,CKKS,C_decrypt_delta,250,1000,cold,2642061,883.042,2992,0
ckks_h250_s1000_cold.log,CKKS,C_control_logic_until_convergence,250,1000,cold,15784,5.275,2992,0
ckks_h250_s1000_cold.log,CKKS,C_total_decrypt_plus_control,250,1000,cold,3540474,3540.474,1000,0
ckks_h250_s1000_cold.log,CKKS,SIM_total_measured_H_B_C,250,1000,cold,2111867697,2111867.697,1000,394865
ckks_h250_s1000_cold.log,SUMMARY,total_iterations,250,1000,cold,2992,2.992,1000,0
ckks_h250_s1000_cold.log,SUMMARY,accepted_delta_count,250,1000,cold,423485,423.485,1000,0
ckks_h500_s1000_cold.log,CKKS,H_initial_device_planning,500,1000,cold,5578289,11.157,500000,0
ckks_h500_s1000_cold.log,CKKS,H_encrypt_X_i,500,1000,cold,1527099369,3054.199,500000,394865
ckks_h500_s1000_cold.log,CKKS,H_plan_compute,500,1000,cold,27161682,18.758,1448000,0
ckks_h500_s1000_cold.log,CKKS,H_accept_compute,500,1000,cold,28809,0.034,848748,0
ckks_h500_s1000_cold.log,CKKS,H_encrypt_delta_i,500,1000,cold,2590944980,3052.667,848748,394865
ckks_h500_s1000_cold.log,CKKS,H_total_household_side,500,1000,cold,4150813129,4150813.129,1000,394865
ckks_h500_s1000_cold.log,CKKS,B_init_X_from_first_ciphertext,500,1000,cold,41947,41.947,1000,394865
ckks_h500_s1000_cold.log,CKKS,B_add_X_remaining,500,1000,cold,21035047,42.154,499000,394865
ckks_h500_s1000_cold.log,CKKS,B_init_delta_from_first_ciphertext,500,1000,cold,123768,42.738,2896,394865
ckks_h500_s1000_cold.log,CKKS,B_add_delta_remaining,500,1000,cold,35966819,42.521,845852,394865
ckks_h500_s1000_cold.log,CKKS,B_total_aggregation,500,1000,cold,57167581,57167.581,1000,394865
ckks_h500_s1000_cold.log,CKKS,C_decrypt_X,500,1000,cold,889873,889.873,1000,0
ckks_h500_s1000_cold.log,CKKS,C_decrypt_delta,500,1000,cold,2585362,892.735,2896,0
ckks_h500_s1000_cold.log,CKKS,C_control_logic_until_convergence,500,1000,cold,30227,10.438,2896,0
ckks_h500_s1000_cold.log,CKKS,C_total_decrypt_plus_control,500,1000,cold,3505462,3505.462,1000,0
ckks_h500_s1000_cold.log,CKKS,SIM_total_measured_H_B_C,500,1000,cold,4211486172,4211486.172,1000,394865
ckks_h500_s1000_cold.log,SUMMARY,total_iterations,500,1000,cold,2896,2.896,1000,0
ckks_h500_s1000_cold.log,SUMMARY,accepted_delta_count,500,1000,cold,848748,848.748,1000,0
ckks_h50_s1000_cold.log,CKKS,H_initial_device_planning,50,1000,cold,611611,12.232,50000,0
ckks_h50_s1000_cold.log,CKKS,H_encrypt_X_i,50,1000,cold,153415944,3068.319,50000,394865
ckks_h50_s1000_cold.log,CKKS,H_plan_compute,50,1000,cold,4595261,21.418,214550,0
ckks_h50_s1000_cold.log,CKKS,H_accept_compute,50,1000,cold,3032,0.035,87466,0
ckks_h50_s1000_cold.log,CKKS,H_encrypt_delta_i,50,1000,cold,267400737,3057.196,87466,394865
ckks_h50_s1000_cold.log,CKKS,H_total_household_side,50,1000,cold,426026585,426026.585,1000,394865
ckks_h50_s1000_cold.log,CKKS,B_init_X_from_first_ciphertext,50,1000,cold,40136,40.136,1000,394865
ckks_h50_s1000_cold.log,CKKS,B_add_X_remaining,50,1000,cold,2009218,41.004,49000,394865
ckks_h50_s1000_cold.log,CKKS,B_init_delta_from_first_ciphertext,50,1000,cold,92696,21.602,4291,394865
